--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
031.252  000.024  000.024: require('tokyonight.util')
031.253  000.042  000.018: require('tokyonight.theme')
031.331  000.018  000.018: require('tokyonight.colors')
031.383  000.014  000.014: require('tokyonight.colors.storm')
031.452  000.033  000.033: require('tokyonight.hsluv')
031.605  000.025  000.025: require('tokyonight.groups')
032.011  000.817  000.685: sourcing /home/hellotalk/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight-night.lua
032.380  029.918  000.675: sourcing /home/hellotalk/.config/nvim/init.lua
032.386  000.340: sourcing vimrc file(s)
032.517  000.021  000.021: sourcing /usr/local/nvim/share/nvim/runtime/filetype.lua
032.617  000.034  000.034: sourcing /usr/local/nvim/share/nvim/runtime/syntax/synload.vim
032.655  000.116  000.082: sourcing /usr/local/nvim/share/nvim/runtime/syntax/syntax.vim
032.660  000.138: inits 3
032.936  000.276: reading ShaDa
033.149  000.213: opening buffers
033.204  000.056: BufEnter autocommands
033.206  000.002: editing files in windows
033.211  000.004: --- NVIM STARTED ---

